No.,SAMPLE_ID,식품명,제조사,조사년도,식품분류,식품상세분류,식품코드,출처,1회제공량,에너지(Kcal),단백질(g),지질(g),탄수화물(g),총당류(g),나트륨(mg),콜레스테롤(mg),총 포화 지방산(g),트랜스 지방산(g)
203,R001702-ZZ-AVG,"소고기, 한우(1등급), 사태(뭉치사태), 생것",전국(대표),2019,농축산물,육류,R001702,농진청('16),100,146,24.04,4.86,0,0,57,56.89,1.86,0.09
204,R001703-ZZ-AVG,"소고기, 한우(1등급), 사태(상박살), 생것",전국(대표),2019,농축산물,육류,R001703,농진청('16),100,165,21.38,8.17,0,0,59,63.99,3.3,0.16
205,R001704-ZZ-AVG,"소고기, 한우(1등급), 사태(아롱사태), 생것",전국(대표),2019,농축산물,육류,R001704,농진청('16),100,256,21.47,18.27,0,0,66,72.79,6.2,0.3
206,R001705-ZZ-AVG,"소고기, 한우(1등급), 사태(앞사태), 생것",전국(대표),2019,농축산물,육류,R001705,농진청('16),100,146,23.1,5.24,0,0,66,61,1.93,0.1
207,R001706-ZZ-AVG,"소고기, 한우(1등급), 설도(도가니살), 생것",전국(대표),2019,농축산물,육류,R001706,농진청('16),100,160,20.37,8.14,0,0,52,62.58,3.36,0.16
208,R001707-ZZ-AVG,"소고기, 한우(1등급), 설도(삼각살), 생것",전국(대표),2019,농축산물,육류,R001707,농진청('16),100,221,21.01,14.52,0,0,49,60.39,5.79,0.3
209,R001708-ZZ-AVG,"소고기, 한우(1등급), 설도(설깃머리살), 생것",전국(대표),2019,농축산물,육류,R001708,농진청('16),100,193,20.21,11.84,0,0,50,65.62,3.88,0.21
210,R001709-ZZ-AVG,"소고기, 한우(1등급), 앞다리(갈비덧살), 생것",전국(대표),2019,농축산물,육류,R001709,농진청('16),100,184,20.39,10.73,0,0,51,57.61,3.93,0.21
211,R001710-ZZ-AVG,"소고기, 한우(1등급), 앞다리(부채덮개살), 생것",전국(대표),2019,농축산물,육류,R001710,농진청('16),100,149,21.39,6.34,0,0,68,54.91,2.74,0.13
212,R001711-ZZ-AVG,"소고기, 한우(1등급), 양지(앞치마살), 생것",전국(대표),2019,농축산물,육류,R001711,농진청('16),100,284,18.69,22.65,0,0,47,63.48,7.28,0.38
213,R001712-ZZ-AVG,"소고기, 한우(1등급), 양지(업진안살), 생것",전국(대표),2019,농축산물,육류,R001712,농진청('16),100,221,17.76,16.07,0,0,47,67.93,6.9,0.33
214,R001713-ZZ-AVG,"소고기, 한우(1등급), 양지(차돌박이), 생것",전국(대표),2019,농축산물,육류,R001713,농진청('16),100,394,16.45,35.94,0,0,66,90.44,12.18,0.69
215,R001714-ZZ-AVG,"소고기, 한우(1등급), 양지(치마살), 생것",전국(대표),2019,농축산물,육류,R001714,농진청('16),100,217,21.8,13.75,0,0,46,62.09,4.96,0.32
216,R001715-ZZ-AVG,"소고기, 한우(1등급), 양지(치마양지), 생것",전국(대표),2019,농축산물,육류,R001715,농진청('16),100,179,22.27,9.34,0,0,65,61.08,3.51,0.19
217,R001716-ZZ-AVG,"소 부산물, 간, 생것",전국(대표),2019,농축산물,육류,R001716,식약처('96),100,131,19,4.6,2.2,0,65,0,0,0
